russian,zilo,gender,abs.pl,obl.sg,obl.pl,loc,GA,pst,imp,pos,transducer_entry,transducer_lexicon_group
гребень,гьокьу,"р, р",гьокьодул,гьокьудолӏи,гьокьодалӏи,,,,,N,,
грязь,гъузи,"б, б",гъузол,гъузиллӏи,гъузолилӏи,гъузалӏи,,,,N,,
густой,бекъуб,,,,,,рекъуб,,,ADJ,бекъуб:екъуб[b],Adjective_class_prefix
да,гьуᵸ,,,,,,,,,EXCL,,
да,джи,,,,,,,,,EXCL,,
двор,рей,"б, б",рейадул,рейлӏи,рейадалӏи,рейду,,,,N,,
десна,томил,"б, б",томилол,томилулӏи,томилалӏи,,,,,N,,
долг,налъи,"р, р",налъол,налъолӏи,налъолилӏи,,,,,N,,
драться,бахери,,,,,,вахери,вахо,вахоб,V,бахери<V>:ах[thematic-o],Verb_class_prefix
дуть,пудери,,,,,,,пуди,пудо,V,"пудери<V>:пуд[thematic-i,transitive]",Verb
другой,себло,,,,,,"севло, сейло, себло, севулло, сейилло, себулло",,,ADJ,себло:се :ло,Adjective_class_internal(2)
жирный,чора,,,,,,,,,ADJ,чора,Adjective_no_class
жирный (бульон),чӏачӏи,,,,,,,,,ADJ,чӏачӏи,Adjective_no_class
здоровый,сагъи,,,,,,,,,ADJ,сагъи,Adjective_no_class
иногда,жиб жиб заман,,,,,,,,,ADV,,
каждый,джиб,,,,,,,,,ADJ,джиб[b],Adjective_no_class
уличная печь для хлеба,тавхан,б,,тавханулӏи,,,,,,N,,
капля,тӏонкӏил,"р, р",тӏонкӏилол,тӏонкӏилулӏи,тӏонкӏилалӏи,,,,,N,,
книга,ххуча,"р, р",ххучол,ххучулӏи,ххучалӏи,хучула,,,,N,,
колбаса,рудил,"б, б",рудилол,рудилулӏи,рудилалӏи,,,,,N,,
кормить,биконну,,,,,,"биконлъи, вуконлъи, йиконлъи, воконлъи, йоконлъи",биконлъи,биконно,V,"биконну<V>:к[nasal,causative]",Verb_class_prefix_i_o
кость,рокьи,"б, б",рокьол,рокьиллӏи,"рокьалӏи, рокьилилӏи",,,,,N,,
красивый,багъу,,,,,,,,,ADJ,багъу,Adjective_no_class
кукуруза,хӏечӏинкӏа,"б, б",хӏечӏинкӏол,хӏечӏинкӏулӏи,хӏечӏинкӏалӏи,,,,,N,,
куропатка,гъобгъо,"б, й",гъобгъол,гъобгъолӏи,гъобгъолилӏи,,,,,N,,
кусок,тупи,"б, б",тупил,тупиллӏи,тупилилӏи,,,,,N,,
легкий,лъолколъи,,,,,,,,,ADJ,лъолколъи,Adjective_no_class
летучая мышь,лъалботӏи,"б, й",лъалботӏол,лъалботӏиллӏи,лъалботӏулилӏи,,,,,N,,
лопата,бел,"б, б",беладул,белулӏи,беладалӏи,,,,,N,,
медь,гьир,"б, б",гьирдул,гьирлӏи,гьирдобалӏи,,,,,N,,
мелкий,чӏантӏи,,,,,,,,,ADJ,чӏантӏи,Adjective_no_class
мертвый,бичӏой,,,,,,"йичӏой, вучӏой, йочӏой, вочӏой",,,ADJ,бичӏой:чӏой,Adjective_class_prefix_i_u
мешок,таргьа,"б, б",таргьибол,таргьулӏи,таргьибалӏи,,,,,N,,
могила,шу,"б, б",шулибол,шулӏи,шулибалӏи,шудила,,,,N,,
молния,пири,"б, б",пирил,пирилӏи,пирилилӏи,,,,,N,,
мыло,сапун,"б, б",сапумол,сапунолӏи,сапумалӏи,,,,,N,,
падать,вукквери,,,,,,"вукку, йукку, букку, вукӏуй, йукӏуй, букӏуй",вукку,вуккуб,V,,Verb
одежда,роъол,"б, б",роъолол,роъоллӏи,роъолалӏи,,,,,N,,
одеяло,йоргъан,"б, б",йоргъамил,йоргъанулӏи,йоргъамалӏи,,,,,N,,
оса,гьанкьакӏур,"б, й",гьанкьакӏурол,гьанкьакӏурулӏи,гьанкьакӏуралӏи,,,,,N,,
палас,паларсси,"б, б",паларссол,паларссулӏи,паларссолилӏи,,,,,N,,
паутина,гелчи,"б, б",гелчил,гелчилӏи,гелчилилӏи,,,,,N,,
пена,пол,"б, б",полил,поллӏи,полилилӏи,,,,,N,,
пещера,речӏчӏо,"б, б",речӏчӏадул,речӏчӏолӏи,речӏчӏадалӏи,,,,,N,,
плавать,коллери,,,,,,,колли,коллиб,V,коллери<V>:колл[thematic-i],Verb
пища,буги,"б, б",бугил,бугилӏи,бугилилӏи,,,,,N,,
платок,кӏази,"р, р",кӏазил,кӏазилӏи,кӏазилилӏи,,,,,N,,
плесень,ккал,"б, б",ккалил,ккалуллӏи,ккалилилӏи,,,,,N,,
подушка,къелъин,"р, р",къелъимол,къелъинулӏи,къелъималӏи,,,,,N,,
половина,ахьал,"б, б",ахьалол,ахьаллӏи,ахьалолилӏи,,,,,N,,
половина,сейсиб,"б, б",сейсибол,сейсибулӏи,сейсибалӏи,,,,,N,,
просо,беча,,,,,,,,,N,,
резать,букъери,,,,,,"рукъи, бакъи, ракъи, вукъи, вакъи, йикъери",букъи,рукъо,V,"букъери<V>:къ[thematic-i,transitive]",Verb_class_prefix_u_a
расти,бижунну,,,,,,"рожун, бижун, божун",бижун,бижум,V,бижунну<V>:жу[nasal],Verb_class_prefix_i_o
раб,лагъи,"в, в",лагъол,лагъишув,лагъолув,,,,,N,,
рабыня,лагъи,"й, й",лагъол,лагъиллӏил,лагъолилӏи,,,,,N,,
род,тухум,"б, б",тухумол,тухумулӏи,тухумалӏи,,,,,N,,
саван,мусру,"б, б",мусродул,мусрулӏи,мусродалӏи,,,,,N,,
сахар,писоки,"б, б",писокол,писокулӏи,писоколилӏи,,,,,N,,
сахар,чахъар,"б, б",чахъардул,чахъарулӏи,чахъардалӏи,,,,,N,,
свеча,чирахъи,"б, б",чирахъол,чирахъулӏи,чирахъалӏи,,,,,N,,
свинья,хунтӏа,"б, й",хунтӏил,хунтӏулӏи,хунтӏилилӏи,,,,,N,,
селезенка,эчӏчӏи,"б, б",эчӏчӏил,эчӏчӏиллӏи,эчӏчӏилилӏи,,,,,N,,
семь,гьокьугу,,,,,,,,,NUM,,
сосать,цӏцӏуннери,,,,,,,цӏцӏунни,цӏцӏунно,V,"цӏцӏуннери<V>:цӏцӏунн[thematic-i,transitive]",Verb
семья,хъизан,"б, б",хъизамил,хъизанулӏи,хъизамалӏи,,,,,N,къваку,Adjective_no_class
сильный,къваку,,,,,,,,,ADJ,,
слово,рошо,"б, б",рошол,рошоллӏи,рошолилӏи,,,,,N,,
сосать,боххинну,,,,,,"роххонний, воххинну",боххон,боххон,V,"боххинну<V>:охх[nasal,transitive,npst-i]",Verb_class_prefix
сто,бешенугу,,,,,,,,,NUM,,
там,гьуду,,,,,,,,,ADV,гьуду,Adverb_no_class
тарелка,гъадара,"б, б",гъадардул,гъадарулӏи,гъадардалӏи,,,,,N,,
терять,битӏери,,,,,,"ритӏу, йитӏу, вутӏу, вотӏуй, йотӏуй",битӏу,битӏуб,V,битӏери<V>:тӏ[thematic-u],Verb_class_prefix_i_o
миска,чингил,"р, р",чингилол,чингилулӏи,y,,,,,N,,
теленок,лъедир,"б, й",лъедирдул,лъедиролӏи,лъедирдалӏи,,,,,N,,
тесть,имакьору,"в, в",имакьордобил,имакьорушув,имакьордав,,,,,N,,
точило,чарххи,"р, р",чарххил,чарххиллӏи,чарххилилӏи,,,,,N,,
точило,хъиру,"б, б",хъирдобил,хъирдолӏи,хъирдобалӏи,,,,,N,,
ты,мен,,,,,,,,,PRON,,
тысяча,озуругу,,,,,,,,,NUM,,
тюрьма,туснахъ,"б, б",туснахъол,туснахъиллӏи,туснахъалӏи,,,,,N,,
тяжелый,гьокӏору,,,,,,,,,ADJ,гьокӏору,Adjective_no_class
угол,цӏцӏикон,"б, б",цӏцӏикомил,цӏцӏиконлӏи,цӏцӏикомалӏи,,,,,N,,
узел,кӏору,"б, б",кӏородул,кӏорулӏи,кӏородалӏи,,,,,N,,
цена,багьа,"б, б",багьал,багьаллӏи,багьалилӏи,,,,,N,,
человек,гьеква,в,,гьеквашув,,,,,,N,,
четыре,боъогу,,,,,,"боъогу, воъогу, йоъогу",,,NUM,,
шаг,гали,"б, б",галил,галиллӏи,галилилӏи,,,,,N,,
я,ден,,,,,,,,,PRON,,
ярмо,рукьо,"р, р",рукьодул,рукьоллӏи,рукьодалӏи,,,,,N,,
бабочка,одорукӏа,"б, й",одорукӏол,одорукӏаллӏи,одорукӏалӏи,,,,,N,,
бок,исиб,"б, б",исибол,исибулӏи,исибалӏи,,,,,N,,
борозда,рохъи,"б, б",рохъадул,рохъиллӏи,рохъадалӏи,,,,,N,,
бык,бугъа,"б, й",бугъибадул,бугъулӏи,бугъибадалӏи,,,,,N,,
бык,унсо,"б, й",унсодал,унсулӏи,унсодалӏи,,,,,N,,
быстро,хехи,,,,,,,,,ADV,хехи,Adverb_no_class
вздрагивать,ирери,,,,,,,ири,ириб,V,ирери<V>:ир[thematic-i],Verb
веник,коцӏи,"б, б",коцӏол,коцӏиллӏи,коцӏалӏи,,,,,N,,
вилы,кӏвенкьа,"б, б",кӏвенкьибол,кӏвенкьулӏи,кӏвенкьибалӏи,,,,,N,,
виноград,чӏичӏи,"б, б",чӏичӏил,чӏичӏилӏи,чӏичӏилилӏи,,,,,N,,
внутри,гьину,,,,,,,,,ADV,гьину,Adverb_no_class
ворона,гъанни,"б, й",гъаннол,гъаннулӏи,гъанналӏи,,,,,N,,
все,жибулгу,,,,,,"жийилгу, живулгу, жибулгу",,,ADJ,жибулгу:жи :улгу,Adjective_class_internal(2)
гнездо,бешен,"б, б",бешемил,бешенлӏи,бешемалӏи,бешенъа,,,,N,,
гнить,турери,,,,,,,тури,туриб,V,турери<V>:тур[thematic-i],Verb
пахнуть гнилью,шанохвери,,,,,,,шаноху,шанохуб,V,шанохвери<V>:шанохв[thematic-u],Verb
гной,охо,"б, б",охол,охоллӏи,охолилӏи,,,,,N,,
горький,букьин,,,,,,,,,ADJ,букьин,Adjective_no_class
делать,джидери,,,,,,,джеди,джидо,V,"джидери<V>:джид[thematic-i,transitive]",Verb
губа,сункӏа,"б, б",сункӏобил,сункӏулӏи,сункӏобалӏи,,,,,N,,
далеко,элолла,,,,,,,,,ADV,элолла,Adverb_no_class
дом,милки,"б, б",милкил,милкиллӏи,милкилилӏи,,,,,N,,
жевать,чӏаммери,,,,,,,чӏамми,чӏаммо,V,"чӏаммери<V>:чӏамм[thematic-i,transitive]",Verb
дрожать,чӏирчӏишери,,,,,,,чӏирчӏишо,чӏирчӏишоб,V,чӏирчӏишери<V>:чӏирчӏиш[thematic-o],Verb
жена,гьорчӏи,"й, й",гьорчӏобил,гьорчӏулӏи,гьорчӏобалӏи,,,,,N,,
живот,река,"р, р",рекобил,рекулӏи,рекобалӏи,рекула,,,,N,,
качать,бергъоллу,,,,,,"вергъолъи, йергъолъи, бергъолъи, йергъолъирил",вергъолъи,йергъолло,V,бергъоллу<V>:ергъ[causative],Verb_class_prefix
знать,цӏиннери,,,,,,,цӏинни,цӏинниб,V,цӏиннери<V>:цӏинн[thematic-i],Verb
земляника,гъваркъи,р,,гъваркъилӏи,,,,,,N,,
кирка,газа,"б, б",газибол,газулӏи,газибалӏи,,,,,N,,
копать,хварери,,,,,,,хвари,хваро,V,"хварери<V>:хвар[thematic-i,transitive]",Verb
клещ,арпа,"б, й",арпол,арпуллӏи,арполилӏи,,,,,N,,
комар,кӏкӏара,"б, й",кӏкӏарибол,кӏкӏарулӏи,кӏкӏарибалӏи,,,,,N,,
копыто,лъол,"р, р",лъолибол,лъолулӏи,лъолибалӏи,,,,,N,,
кремень,чӏому,"б, б",чӏомодул,чӏомодалӏи,чӏомодалӏи,,,,,N,,
круглый,гургума,,,,,,,,,ADJ,гургума,Adjective_no_class
крышка,ъала,"р, р",ъалибол,ъалулӏи,ъалибалӏи,,,,,N,,
кувшин,кӏепи,"р, р",кӏепил,кӏепиллӏи,кӏепилилӏи,,,,,N,,
кукарекать,уᵸъуᵸдери,,,,,,,уᵸъуᵸди,уᵸъуᵸдиб,V,уᵸъуᵸдери<V>:уᵸъуᵸд[thematic-i],Verb
кузнечик,гъацӏа,"б, й",гъацӏол,гъацӏолӏи,гъацӏалӏи,,,,,N,,
кулак,за,"б, б",задобил,задулӏи,задобалӏи,,,,,N,,
лапа,квачӏа,"р, р",квачӏибол,квачӏулӏи,квачӏибалӏи,,,,,N,,
лед,зар,"р, р",зардул,зарлӏи,зардалӏи,,,,,N,,
лицо,рижи,"р, р",рижил,рижиллӏи,рижилилӏи,,,,,N,,
локоть,цӏцӏикон,"б, б",цӏцӏикомил,цӏцӏиконлӏи,цӏцӏикомалӏи,,,,,N,,
медленно,илӏохъи,,,,,,,,,ADV,илӏохъи,Adverb_no_class
менять,бершери,,,,,,"бершой, рершой",бершо,бершо,V,"бершери<V>:ерш[thematic-o,transitive]",Verb_class_prefix
месить,кӏвкӏварери,,,,,,,кӏвкӏвари,кӏвкӏваро,V,"кӏвкӏварери<V>:кӏвкӏвар[thematic-i,transitive]",Verb
медленно,илӏогва,,,,,,,,,ADV,илӏогва,Adverb_no_class
мельница,ихоб,"р, р",ихобил,ихобулӏи,ихобалӏи,,,,,N,,
молоть,ихохъери,,,,,,,ихохъи,ихохъо,V,"ихохъери<V>:ихохъ[thematic-i,transitive]",Verb
мокрый,битӏонниб,,,,,,"ритӏонниб, ротӏоннибул, ботӏоннибул",,,ADJ,битӏонниб:тӏонниб[b],Adjective_class_prefix_i_u
муж,кунтӏа,"в, в",кунтӏобил,кунтӏув,кунтӏобав,,,,,N,,
мычать,гьуммедери,,,,,,,гьуммеди,гьуммедиб,V,гьуммедери<V>:гьуммед[thematic-i],Verb
муравей,лъанцӏцӏи,"б, й",лъанцӏцӏол,лъанцӏцӏолӏи,лъанцӏцӏалӏи,,,,,N,,
ноготь,мулъа,"б, б",мулъалол,мулъалулӏи,мулъалалӏи,,,,,N,,
овес,ниха,"б, б",нихал,нихаллӏи,нихалилӏи,,,,,N,,
овца,хӏайман,"б, й",хӏайманол,хӏайманулӏи,хӏайманалӏи,,,,,N,,
орел,цӏцӏум,"б, й",цӏцӏуммил,цӏцӏумолӏи,цӏцӏумалӏи,,,,,N,,
орех,авъал,"р, р",авъалол,авъаллӏи,авъалалӏи,,,,,N,,
осленок,токӏищи,"б, й",токӏищол,токӏищулӏи,токӏищалӏи,,,,,N,,
пахать,бекьери,,,,,,,бекьи,бекьо,V,"бекьери<V>:бекь[thematic-i,transitive]",Verb
охапка,гьолӏийа,"б, б",гьолӏийол,гьолӏийулӏи,гьолӏийалӏи,,,,,N,,
пень,гъадукӏол,"б, б",гъадукӏолол,гъадукӏолулӏи,гъадукӏолалӏи,,,,,N,,
песня,кечӏи,"б, б",кечӏол,кечӏолӏи,кечӏолилӏи,,,,,N,,
плакать,бекӏуъери,,,,,,"векӏуъи, йекӏуъи, бекӏуъи, йекӏуъол, векӏуъол",векӏуъи,векӏуъиб,V,бекӏуъери<V>:екӏуъ[thematic-i],Verb_class_prefix
пилить,хъухъанну,,,,,,,хъухъан,хъухъон,V,"хъухъанну<V>:хъухъа[nasal,transitive]",Verb
печень,реъилӏи,"р, р",реъилӏол,реъилӏулӏи,реъилӏобалӏи,,,,,N,,
пиявка,куронжи,"б, й",куронжол,куронжулӏи,куронжалӏи,,,,,N,,
полный,бицӏцӏиб,,,,,,"рицӏцӏиб, вуцӏцӏиб, йицӏцӏиб, воцӏцӏибул, йоцӏцӏибул,",,,ADJ,бицӏцӏиб:цӏцӏиб[b],Adjective_class_prefix_i_u
послезавтра,сой,,,,,,,,,ADV,сой,Adverb_no_class
посуда,къай,"б, б",къайил,къайлӏи,къайилилӏи,,,,,N,,
правый,гьанчӏчӏил,,,,,,,,,ADJ,гьанчӏчӏил,Adjective_no_class
продавать,бахоллу,,,,,,"бахолъий, рахолъий",бахолъи,бахолло,V,бахоллу<V>:ах[causative],Verb_class_prefix
пупок,цӏцӏунно,"р, р",цӏцӏуннобил,цӏцӏунноллӏи,цӏцӏуннобалӏи,,,,,N,,
пыль,кьехва,"б, б",кьехвал,кьехвалӏи,кьехвалилӏи,,,,,N,,
пятка,мижа,"б, б",мижалол,мижалулӏи,мижалалӏи,,,,,N,,
сеять,бекьери,,,,,,"бекьи, рекьи",бекьи,бекьо,V,"бекьери<V>:екь[thematic-i,transitive]",Verb_class_prefix
скользить,гъурери,,,,,,,гъури,гъуриб,V,гъурери<V>:гъур[thematic-i],Verb
ржать,хӏихӏишери,,,,,,,хӏихӏиши,хӏихӏишоб,V,хӏихӏишери<V>:хӏихӏиш[thematic-o],Verb
рука,реъа,"р, р",реъобил,реъулӏи,реъобалӏи,,,,,N,,
слышать,анлъери,,,,,,,анлъи,анлъиб,V,анлъери<V>:анлъ[thematic-i],Verb
сладкий,мицӏа,,,,,,,,,ADJ,мицӏа,Adjective_no_class
слюна,тото,"б, б",тотобол,тотолилӏи,тотобалӏи,,,,,N,,
смола,пирцӏцӏи,"б, б",пирцӏцӏил,пирцӏцӏилӏи,пирцӏцӏилилӏи,,,,,N,,
собирать,бакӏарунну,,,,,,"бакӏарун, ракӏарун, вакӏарун, йакӏарун",бакӏарун,бакӏарон,V,"бакӏарунну<V>:акӏару[nasal,transitive]",Verb_class_prefix
спать,кьихинну,,,,,,,кьихон,кьихон,V,"кьихинну<V>:кьих[nasal,transitive,npst-i]",Verb
сноп,аста,"б, б",астибол,астулӏи,астибалӏи,,,,,N,,
соль,цӏцӏон,"р, р",цӏцӏонибол,цӏцӏонлӏи,цӏцӏонибалӏи,,,,,N,,
считать,багвери,,,,,,,багу,баго,V,,Verb
стричь,къирери,,,,,,,къири,къиро,V,"къирери<V>:къир[thematic-i,transitive]",Verb
сука,гежи,"б, й",гежобил,гежолӏи,гежобалӏи,,,,,N,,
сыр,чӏами,"р, р",чӏамил,чӏамилӏи,чӏамилилӏи,,,,,N,,
таять,буцӏери,,,,,,"буцӏор, руцӏор",буцӏо,руцӏоб,V,буцӏери<V>:уцӏ[thematic-o],Verb_class_prefix
убегать,бучӏчӏунну,,,,,,"вучӏчӏун, йичӏчӏун, бучӏчӏун, вачӏчӏун, йачӏчӏун",вучӏчӏун,вучӏчӏум,V,бучӏчӏунну<V>:чӏчӏу[nasal],Verb_class_prefix_u_a
толокно,гун,б,,гунлӏи,гунолӏол,,,,,N,,
тонкий,беъора,,,,,,"веъора, йеъора, веъорол, йеъорол",,,ADJ,беъора:еъора,Adjective_class_prefix
хвалить,беццихъери,,,,,,"веццихъи, йеццихъи, беццихъи, йеццихъол",веццихъи,веццихъо,V,"беццихъери<V>:еццихъ[thematic-i,transitive]",Verb_class_prefix
уздечка,пархон,"р, р",пархомил,пархонулӏи,пархомалӏи,,,,,N,,
фундамент,гъа,б,,гъалӏи,,,,,,N,,
фундамент,кьучӏчӏи,"б, б",кьучӏчӏол,кьучӏчӏиллӏи,кьучӏчӏилалӏи,,,,,N,,
царапать,рихъери,,,,,,,рихъи,рихъо,V,"рихъери<V>:рихъ[thematic-i,transitive]",Verb
царапать,хъеллери,,,,,,,хъелли,хъелло,V,"хъеллери<V>:хъелл[thematic-i,transitive]",Verb
холодный,содо,,,,,,,,,ADJ,содо,Adjective_no_class
холодный,зархуб,,,,,,"зархур, зархуб",,,ADJ,зархуб:зарху,Adjective_class_suffix
шить,бахинну,,,,,,"бахон, рахон",бахон,бахон,V,"бахинну<V>:ах[nasal,transitive,npst-i]",Verb_class_prefix
цепь,раххасси,"р, р",раххассол,раххассулӏи,раххассалӏи,,,,,N,,
волос,лъин,"б, б",лъинибол,лъинлӏи,лъинибалӏи,,,,,N,,
завтра,щела,,,,,,,,,ADV,щела,Adverb_no_class
заяц,кьанкӏала,"б, й",кьанкӏалдул,кьанкӏалулӏи,кьанкӏалдалӏи,,,,,N,,
маленький,мичӏи,,,,,,,,,ADJ,мичӏи,Adjective_no_class
рот,кӏол,"б, б",кӏолибол,кӏололӏи,кӏолибалӏи,,,,,N,,
штаны,орчоги,"р, р",орчогобил,орчогулӏи,орчогобалӏи,,,,,N,,
штаны,шалавар,"р, р",шалаварол,шалаварлӏи,шалаваралӏи,,,,,N,,
стекло,матӏу,"р, р",матӏодул,матӏулӏи,матӏодалӏи,,,,,N,,
стол,устул,"б, б",устулол,устулулӏи,устулалӏи,,,,,N,,
ад,джуджахӏи,б,,джуджахӏаллӏи,,,,,,N,,
аккуратный,уцӏцӏилойсси,,,,,,,,,ADJ,уцӏцӏилойсси,Adjective_no_class
алюминий,тутийа,"б, б",тутийал,тутийалӏи,тутийалилӏи,,,,,ADJ,тутийа,Adjective_no_class
арбуз,хъарпузи,"б, б",хъарпузол,хъарпузулӏи,хъарпузалӏи,,,,,N,,
бегать,гьеллери,,,,,,,гьелли,гьеллиб,V,гьеллери<V>:гьелл[thematic-i],Verb
башлык,башлухъи,"б, б",башлухъол,башлухъулӏи,башлухъалӏи,,,,,N,,
беседа,хабарчӏабар,"б, б",хабарчӏабарол,хабарчӏабарулӏи,хабарчӏабаралӏи,,,,,N,,
бинокль,дурмал,"б, б",дурмалол,дурмалулӏи,дурмалалӏи,,,,,N,,
блестеть,биквери,,,,,,"роквери, рикоко, вукоко, йикоко, вококо, йококо",бикоко,бикоб,V,,Verb_class_prefix_i_o
брызгать,пунхъишери,,,,,,,пунхъишо,пунхъишо,V,"пунхъишери<V>:пунхъиш[thematic-i,transitive]",Verb
бросать,шаммери,,,,,,,шамми,шаммо,V,"шаммери<V>:шамм[thematic-i,transitive]",Verb
болезнь,рукъур,"б, б",рукъурол,рукъурлӏи,рукъуралӏи,,,,,N,,
буйвол,гамущи,"б, й",гамущол,гамущулӏи,гамущалӏи,,,,,N,,
буква,хӏарпи,"б, б",хӏарпил,хӏарпиллӏи,хӏарпилилӏи,,,,,N,,
быстрый,хехи,,,,,,,,,ADJ,хехи,Adjective_no_class
в прошлом году,ссоб,,,,,,,,,ADV,ссоб,Adverb_no_class
вата,пампа,р,,пампаллӏи,,,,,,N,,
ваш,биссиб,,,,,,"биссив, биссивул, биссий, биссийил, биссиб, биссибул",,,ADJ,биссиб:бисси,Adjective_class_suffix
вера,дин,б,,динлӏи,,,,,,N,,
верхний,гьиъасси,,,,,,,,,ADJ,гьиъасси,Adjective_no_class
вещи,дан,"б, б",данол,данлӏи,даналлӏи,,,,,N,,
вина,айиб,"б, б",айибол,айибулӏи,айибалӏи,,,,,N,,
вкусный,мицӏцӏа,,,,,,,,,ADJ,мицӏцӏа,Adjective_no_class
власть,ханлъир,"б, б",ханлъирол,ханлъирлӏи,ханлъиралӏи,,,,,N,,
вниз,гьикьу,,,,,,,,,ADV,гьикьу,Adverb_no_class
внутренний,гьинусси,,,,,,,,,ADJ,гьинусси,Adjective_no_class
водка,аракъи,б,,аракъулӏи,,,,,,N,,
возможность,ресси,"б, б",рессил,рессиллӏи,рессилилӏи,,,,,N,,
войско,аскӏар,"б, б",аскӏарол,аскӏарлӏи,аскӏаралӏи,,,,,N,,
вокруг,бехъиссорий,,,,,,"вехъиссорий, йехъиссорий, бехъиссорий",,,ADV,бехъиссорий:ехъиссорий,Adverb_class_prefix
волна,карачел,"б, б",карачелол,карачелулӏи,карачелалӏи,,,,,N,,
вопрос,суъал,"б, б",суъалол,суъалулӏи,суъалалӏи,,,,,N,,
восемьдесят,бейкьицӏолгу,,,,,,,,,NUM,,
воскресенье,гьатӏан,"р, р",гьатӏанол,гьатӏанлӏи,гьатӏаналӏи,,,,,N,,
вражда,тушманлъир,"б, б",тушманлъирол,тушманлъирлӏи,тушманлъиралӏи,,,,,N,,
вчерашний,сунисси,,,,,,,,,ADJ,сунисси,Adjective_no_class
глист,жолка,"б, й",жолкол,жолкулӏи,жолкалӏи,,,,,N,,
государство,паччалухъи,"б, б",паччалухъол,паччалухъиллӏи,паччалухъалӏи,,,,,N,,
готовность,гьадурлъир,"б, б",гьадурлъирол,гьадурлъирлӏи,гьадурлъиралӏи,,,,,N,,
готовый,гьадур,,,,,,,,,ADJ,гьадур,Adjective_no_class
граница,урхъи,"б, б",урхъадул,урхъудолӏи,урхъадалӏи,,,,,N,,
грех,мунагьи,"б, б",мунагьол,мунагьиллӏи,мунагьалӏи,,,,,N,,
грива,йал,"б, б",йалил,йалулӏи,йалуллӏол,,,,,N,,
грубый,хъачӏи,,,,,,,,,ADJ,хъачӏи,Adjective_no_class
давно,нукӏвал,,,,,,,,,ADV,нукӏвал,Adverb_no_class
двести,чӏебешенугу,,,,,,,,,NUM,,
девяносто,гьочӏоцӏолгу,,,,,,,,,NUM,,
дело,хӏалтӏи,"б, б",хӏалтӏил,хӏалтӏиллӏи,хӏалтӏилилӏи,,,,,N,,
добыча,давла,"б, б",давлал,давлаллӏи,давлалилӏи,,,,,N,,
драка,вагьой,"р, р",вагьорил,,,,йагьой,,,N,,
душа,гьухьал; хӏухьал,"б, б",гьухьалол,гьухьалулӏи,гьухьалалӏи,,,,,N,,
дыня,пастӏан,"б, б",пастӏамил,пастӏанулӏи,пастӏамалӏи,,,,,N,,
дырявый,багимаша,,,,,,,,,ADJ,багимаша,Adjective_no_class
дьявол,шайтӏан,"б, й",шайтӏамил,шайтӏанулӏи,шайтӏамалӏи,,,,,N,,
жаловаться,арзи джидери,,,,,,,арзи джеди,арзи джеди,V,,
жадничать,къиннери,,,,,,,къинни,къинниб,V,къиннери<V>:къинн[thematic-i],Verb
жажда,гьонкъо,"б, б",гьонкъол,гьонкъолӏи,гьонкъолилӏи,,,,,N,,
жалоба,арзи,"б, б",арзил,арзиллӏи,арзилилӏи,,,,,N,,
жвачка,пирцӏцӏи,"б, б",пирцӏцӏил,пирцӏцӏилӏи,пирцӏцӏилилӏи,,,,,N,,
жизнь,умуру,"б, б",умурдул,умуруллӏи,умурдалӏи,,,,,N,,
жребий,мужру,"б, б",мужродул,мужрулӏи,мужродалӏи,,,,,ADJ,мужру,Adjective_no_class
забота,тӏалаб,"б, б",тӏалабил,тӏалабулӏи,тӏалабалӏи,,,,,N,,
затылок,херто,"б, б",хертол,хертолулӏи,хертолалӏи,,,,,N,,
здешний,гьолъусси,,,,,,,,,ADJ,гьолъусси,Adjective_no_class
зимой,кьина,,,,,,,,,ADV,кьина,Adverb_no_class
знакомство,цӏиннигьаъор,,цӏиннигьаъобул,,,,,,,N,,
знание,лъай,"р, р",лъайил,лъайиллӏи,лъайилилӏи,,,,,N,,
зоб,зоб,"б, б",зобил,зобиллӏи,зобилилӏи,,,,,N,,
испорченный,бичӏоб,,,,,,ричӏоб,,,ADJ,бичӏоб:чӏоб[b],Adjective_class_prefix_i_u
какой,илӏисси,,,,,,,,,ADJ,илӏисси,Adjective_no_class
канатоходец,палгьан,"в, в",палгьамадул,палгьаншув,палгьамадав,,,,,N,,
карандаш,къалам,"б, б",къаламил,къаламулӏи,къаламалӏи,,,,,N,,
катушка,чарххи,"р, р",чарххил,чарххиллӏи,чарххилилӏи,,,,,N,,
качели,гьишкӏи,"б, б",гьишкӏил,гьишкӏиллӏи,гьишкӏилилӏи,,,,,N,,
кашель,ухӏул,"б, б",ухӏулол,ухӏулулӏи,ухӏулалӏи,,,,,N,,
керосин,набти,"б, б",набтил,набтиллӏи,набтилилӏи,,,,,N,,
кладбище,шулибол,б,,,шулибалӏи,,,,,N,,
клей,сино,"р, р",синол,синоллӏи,синолилӏи,,,,,N,,
когда,инна,,,,,,,,,ADV,инна,Adverb_no_class
конец,ахир,,,,,,,,,N,,
конечно,гьайгьай,,,,,,,,,ADV,гьайгьай,Adverb_no_class
конопля,кинлӏишен,"р, р",кинлӏишемил,кинлӏишенлӏи,кинлӏишемалӏи,,,,,N,,
корь,хъиру,"б, б",хъиродул,хъиродолӏи,хъиродалӏи,,,,,N,,
косой,къалчӏар,,,,,,,,,ADJ,къалчӏар,Adjective_no_class
